timestamp,station_id,temperature,humidity,pressure,wind_speed,wind_direction,rain_mm,cloud_cover,weather_type_rule
2026-06-29T09:16:44.843140+00:00,GDN_01,14.78,88.54,1025.96,5.87,341,0.42,89,rainy
2026-06-29T09:06:44.843140+00:00,GDN_01,20.09,90.69,1019.6,8.85,203,0.0,93,cloudy
2026-06-29T08:56:44.843140+00:00,GDN_01,16.32,83.06,1008.88,0.95,66,0.0,91,cloudy
2026-06-29T08:46:44.843140+00:00,GDN_01,19.15,83.81,1007.88,12.81,206,0.0,97,windy
2026-06-29T08:36:44.843140+00:00,GDN_01,14.5,91.17,1020.42,11.79,213,0.26,5,windy
2026-06-29T08:26:44.843140+00:00,GDN_01,16.09,55.46,1002.39,13.07,338,0.0,48,windy
2026-06-29T08:16:44.843140+00:00,GDN_01,16.33,79.8,1001.62,7.43,193,2.56,73,heavy-rain
2026-06-29T08:06:44.843140+00:00,GDN_01,13.23,72.56,1013.98,6.75,60,0.0,51,stable
2026-06-29T07:56:44.843140+00:00,GDN_01,13.64,66.31,999.33,9.77,228,1.24,96,storm-risk
2026-06-29T07:46:44.843140+00:00,GDN_01,15.39,68.2,1002.7,6.58,324,1.63,79,heavy-rain
2026-06-29T07:36:44.843140+00:00,GDN_01,16.4,75.31,1002.04,10.63,268,1.97,36,heavy-rain
2026-06-29T07:26:44.843140+00:00,GDN_01,18.11,47.94,1021.49,0.99,329,0.0,89,cloudy
2026-06-29T07:16:44.843140+00:00,GDN_01,13.08,65.84,1004.02,4.76,119,0.0,95,cloudy
2026-06-29T07:06:44.843140+00:00,GDN_01,17.6,56.23,1011.91,9.35,254,0.31,32,rainy
2026-06-29T06:56:44.843140+00:00,GDN_01,16.03,87.04,1013.97,10.2,159,0.66,30,rainy
2026-06-29T06:46:44.843140+00:00,GDN_01,20.41,92.58,1028.8,1.3,43,1.34,72,rainy
2026-06-29T06:36:44.843140+00:00,GDN_01,15.35,63.39,1017.0,7.48,301,0.74,49,rainy
2026-06-29T06:26:44.843140+00:00,GDN_01,20.61,69.5,1010.82,13.49,136,0.0,72,windy
2026-06-29T06:16:44.843140+00:00,GDN_01,14.9,53.3,1026.83,13.49,337,1.09,31,rainy
2026-06-29T06:06:44.843140+00:00,GDN_01,19.26,51.26,1023.06,10.63,349,2.17,15,heavy-rain
2026-06-29T05:56:44.843140+00:00,GDN_01,16.3,94.42,1024.69,12.69,174,0.0,89,windy
2026-06-29T05:46:44.843140+00:00,GDN_01,16.88,79.9,1018.42,3.43,270,0.0,32,stable
2026-06-29T05:36:44.843140+00:00,GDN_01,18.24,84.29,1015.78,6.24,7,1.47,41,rainy
2026-06-29T05:26:44.843140+00:00,GDN_01,14.85,58.24,1003.59,7.93,5,0.0,66,stable
2026-06-29T05:16:44.843140+00:00,GDN_01,15.19,82.88,1022.29,2.83,299,0.0,31,stable
2026-06-29T05:06:44.843140+00:00,GDN_01,13.14,76.63,1002.15,13.55,293,2.02,48,heavy-rain
2026-06-29T04:56:44.843140+00:00,GDN_01,20.68,59.32,1013.29,2.77,88,0.06,49,warm
2026-06-29T04:46:44.843140+00:00,GDN_01,18.8,89.13,1007.94,5.24,35,0.0,84,cloudy
2026-06-29T04:36:44.843140+00:00,GDN_01,16.64,68.76,999.99,4.26,58,1.65,6,heavy-rain
2026-06-29T04:26:44.843140+00:00,GDN_01,14.92,91.75,1017.09,1.69,356,0.16,25,stable
2026-06-29T04:16:44.843140+00:00,GDN_01,20.1,76.62,1004.09,7.06,123,0.48,71,rainy
2026-06-29T04:06:44.843140+00:00,GDN_01,15.35,87.46,998.04,11.58,333,0.95,14,rainy
2026-06-29T03:56:44.843140+00:00,GDN_01,19.16,49.24,1025.24,2.95,329,2.37,34,heavy-rain
2026-06-29T03:46:44.843140+00:00,GDN_01,20.48,80.84,1023.65,8.8,152,1.64,30,heavy-rain
2026-06-29T03:36:44.843140+00:00,GDN_01,13.19,56.79,1014.11,11.09,213,0.09,46,windy
2026-06-29T03:26:44.843140+00:00,GDN_01,17.98,48.3,1016.99,5.18,307,0.72,9,rainy
2026-06-29T03:16:44.843140+00:00,GDN_01,14.08,56.25,1019.9,3.86,176,0.82,36,rainy
2026-06-29T03:06:44.843140+00:00,GDN_01,13.69,62.7,1018.75,2.52,139,0.0,13,stable
2026-06-29T02:56:44.843140+00:00,GDN_01,13.06,61.26,1001.25,3.92,160,1.95,71,heavy-rain
2026-06-29T02:46:44.843140+00:00,GDN_01,17.21,72.9,1002.81,4.55,282,0.93,68,rainy
2026-06-29T02:36:44.843140+00:00,GDN_01,19.53,70.0,1022.52,7.71,193,0.19,12,warm
2026-06-29T02:26:44.843140+00:00,GDN_01,18.37,77.11,997.51,2.73,345,1.06,14,rainy
2026-06-29T02:16:44.843140+00:00,GDN_01,13.97,60.45,1002.08,12.17,48,0.06,93,windy
2026-06-29T02:06:44.843140+00:00,GDN_01,15.92,56.52,1004.45,4.99,49,0.0,83,cloudy
2026-06-29T01:56:44.843140+00:00,GDN_01,16.5,92.19,1025.97,13.82,314,0.92,90,rainy
2026-06-29T01:46:44.843140+00:00,GDN_01,20.29,79.1,1003.87,7.9,354,0.0,6,warm
2026-06-29T01:36:44.843140+00:00,GDN_01,15.88,81.37,1002.33,2.87,251,1.54,27,heavy-rain
2026-06-29T01:26:44.843140+00:00,GDN_01,17.57,94.3,1012.51,11.97,271,0.25,70,windy
2026-06-29T01:16:44.843140+00:00,GDN_01,16.67,75.39,1013.94,5.71,190,0.36,47,rainy
2026-06-29T01:06:44.843140+00:00,GDN_01,16.26,56.47,1015.31,5.42,139,2.38,39,heavy-rain
2026-06-29T00:56:44.843140+00:00,GDN_01,16.56,49.03,1013.65,13.53,21,0.72,5,rainy
2026-06-29T00:46:44.843140+00:00,GDN_01,17.65,79.51,1011.06,13.84,95,0.0,76,windy
2026-06-29T00:36:44.843140+00:00,GDN_01,19.84,65.35,1007.65,1.37,309,0.58,71,rainy
2026-06-29T00:26:44.843140+00:00,GDN_01,15.04,55.33,998.86,6.58,357,0.0,44,stable
2026-06-29T00:16:44.843140+00:00,GDN_01,13.84,63.53,995.96,8.28,343,0.0,80,cloudy
2026-06-29T00:06:44.843140+00:00,GDN_01,18.06,56.42,999.54,5.37,94,0.0,30,warm
2026-06-28T23:56:44.843140+00:00,GDN_01,15.5,63.8,1011.37,3.26,79,1.27,19,rainy
2026-06-28T23:46:44.843140+00:00,GDN_01,16.21,61.02,1011.56,1.42,201,0.81,95,rainy
2026-06-28T23:36:44.843140+00:00,GDN_01,16.45,79.16,1020.79,6.82,261,0.0,51,stable
2026-06-28T23:26:44.843140+00:00,GDN_01,16.11,45.18,1005.95,6.29,354,0.73,99,rainy
2026-06-28T23:16:44.843140+00:00,GDN_01,19.14,64.86,1004.15,12.87,344,0.0,73,windy
2026-06-28T23:06:44.843140+00:00,GDN_01,19.74,71.88,1023.42,4.62,12,0.0,7,warm
2026-06-28T22:56:44.843140+00:00,GDN_01,18.27,66.75,1009.14,2.59,139,0.45,87,rainy
2026-06-28T22:46:44.843140+00:00,GDN_01,20.62,84.48,997.27,13.09,216,0.21,96,unstable
2026-06-28T22:36:44.843140+00:00,GDN_01,17.55,67.42,1005.0,6.31,270,0.0,77,cloudy
2026-06-28T22:26:44.843140+00:00,GDN_01,16.21,49.37,1018.8,1.51,73,0.0,46,stable
2026-06-28T22:16:44.843140+00:00,GDN_01,19.14,65.37,1012.06,1.28,301,0.63,55,rainy
2026-06-28T22:06:44.843140+00:00,GDN_01,14.94,54.22,1021.96,0.26,121,0.14,12,stable
2026-06-28T21:56:44.843140+00:00,GDN_01,20.05,82.35,1029.43,9.02,201,0.82,32,rainy
2026-06-28T21:46:44.843140+00:00,GDN_01,14.13,89.79,1020.14,7.42,32,1.11,67,rainy
2026-06-28T21:36:44.843140+00:00,GDN_01,13.96,87.65,1018.08,8.25,63,0.3,80,rainy
2026-06-28T21:26:44.843140+00:00,GDN_01,15.76,85.91,1028.99,0.08,260,0.0,28,stable
2026-06-28T21:16:44.843140+00:00,GDN_01,19.86,82.34,1018.34,1.65,2,1.19,37,rainy
2026-06-28T21:06:44.843140+00:00,GDN_01,17.87,53.88,1010.32,8.1,295,0.88,34,rainy
2026-06-28T20:56:44.843140+00:00,GDN_01,18.26,86.02,1001.55,12.72,79,0.0,80,unstable
2026-06-28T20:46:44.843140+00:00,GDN_01,13.15,50.05,1007.91,11.27,355,0.4,23,rainy
2026-06-28T20:36:44.843140+00:00,GDN_01,16.23,51.1,1029.19,12.64,216,0.0,55,windy
2026-06-28T20:26:44.843140+00:00,GDN_01,14.54,49.22,1019.07,9.51,269,2.19,3,heavy-rain
2026-06-28T20:16:44.843140+00:00,GDN_01,13.11,60.39,1010.05,1.41,54,0.25,54,stable
2026-06-28T20:06:44.843140+00:00,GDN_01,13.04,69.82,1019.88,11.08,289,0.0,93,windy
2026-06-28T19:56:44.843140+00:00,GDN_01,17.77,59.08,1018.66,2.54,210,0.0,29,stable
2026-06-28T19:46:44.843140+00:00,GDN_01,16.92,85.65,1023.47,10.8,295,0.0,9,windy
2026-06-28T19:36:44.843140+00:00,GDN_01,14.91,65.06,1026.87,3.82,271,0.73,87,rainy
2026-06-28T19:26:44.843140+00:00,GDN_01,17.87,47.6,1002.18,11.86,64,0.0,64,windy
2026-06-28T19:16:44.843140+00:00,GDN_01,14.16,46.33,1001.23,8.89,258,0.0,80,cloudy
2026-06-28T19:06:44.843140+00:00,GDN_01,17.28,72.53,1013.17,11.03,317,0.03,43,windy
2026-06-28T18:56:44.843140+00:00,GDN_01,13.24,71.51,1016.36,5.37,300,0.09,93,cloudy
2026-06-28T18:46:44.843140+00:00,GDN_01,14.28,79.14,1009.9,12.15,85,1.07,99,rainy
2026-06-28T18:36:44.843140+00:00,GDN_01,20.14,80.32,1024.34,10.33,67,0.0,27,windy
2026-06-28T18:26:44.843140+00:00,GDN_01,13.3,93.47,1006.71,3.6,285,0.24,35,stable
2026-06-28T18:16:44.843140+00:00,GDN_01,16.64,57.48,1015.69,13.43,283,0.0,33,windy
2026-06-28T18:06:44.843140+00:00,GDN_01,15.5,54.74,1010.84,7.61,319,0.0,22,stable
2026-06-28T17:56:44.843140+00:00,GDN_01,20.76,81.01,1011.73,9.21,66,1.25,39,rainy
2026-06-28T17:46:44.843140+00:00,GDN_01,13.11,72.37,1021.04,10.08,336,0.0,32,windy
2026-06-28T17:36:44.843140+00:00,GDN_01,16.71,88.11,1018.84,12.91,264,1.92,77,heavy-rain
2026-06-28T17:26:44.843140+00:00,GDN_01,13.08,84.62,1003.38,11.78,279,0.93,35,rainy
2026-06-28T17:16:44.843140+00:00,GDN_01,14.33,49.39,998.62,5.74,4,1.51,22,heavy-rain
2026-06-28T17:06:44.843140+00:00,GDN_01,18.99,84.22,1003.45,6.88,55,1.08,29,rainy
2026-06-28T16:56:44.843140+00:00,GDN_01,19.74,81.16,1010.55,3.58,336,0.87,97,rainy
2026-06-28T16:46:44.843140+00:00,GDN_01,16.21,90.3,1014.53,13.28,54,0.0,75,windy
2026-06-28T16:36:44.843140+00:00,GDN_01,17.21,77.05,1018.99,0.04,117,0.0,28,stable
2026-06-28T16:26:44.843140+00:00,GDN_01,18.0,82.55,1019.24,3.02,285,0.95,5,rainy
2026-06-28T16:16:44.843140+00:00,GDN_01,13.72,52.36,997.05,8.27,269,0.52,11,rainy
2026-06-28T16:06:44.843140+00:00,GDN_01,15.49,60.87,1019.15,11.99,239,0.41,68,rainy
2026-06-28T15:56:44.843140+00:00,GDN_01,18.79,53.51,995.18,2.92,299,0.01,3,warm
2026-06-28T15:46:44.843140+00:00,GDN_01,20.39,83.09,1016.58,10.97,301,0.15,80,windy
